id_filiere;niveau_formation;niveau_acces;nom_filiere;domaine;description;competences_cibles;types_postes
F001;Technicien Specialise;niveau Bac;Management hotelier;Tourisme & Hotellerie;Formation Technicien Specialise orientee vers tourisme & hotellerie avec competences pratiques et insertion professionnelle.;Reception|Gestion reservations|HACCP|Cuisine|Arts de table|Housekeeping;Assistant Tourisme & Hotellerie|Technicien Management hotelier|Operateur specialise|Junior Tourisme & Hotellerie
F002;Technicien Specialise;niveau Bac;Agriculture de Precision;Agriculture;Formation Technicien Specialise orientee vers agriculture avec competences pratiques et insertion professionnelle.;Suivi cultures|Agriculture de precision|Capteurs agricoles|SIG|Cooperatives|Gestion exploitation;Assistant Agriculture|Technicien Agriculture de Precision|Operateur specialise|Junior Agriculture
F003;Technicien Specialise;niveau Bac;Auxiliaire de Soins;Sante;Formation Technicien Specialise orientee vers sante avec competences pratiques et insertion professionnelle.;Prise des constantes|Dossier patient|Communication patient|Brancardage|Urgences|Premiers secours;Assistant Sante|Technicien Auxiliaire de Soins|Operateur specialise|Junior Sante
F004;Technicien Specialise;niveau Bac;Developpement Digital;Digital & IT;Formation Technicien Specialise orientee vers digital & it avec competences pratiques et insertion professionnelle.;CSS|SQL|Git|Linux|Reseaux|Support IT;Assistant Digital & IT|Technicien Developpement Digital|Operateur specialise|Junior Digital & IT
F005;Technicien Specialise;niveau Bac;Diagnostic et Electronique Embarquee Automobile;Automobile;Formation Technicien Specialise orientee vers automobile avec competences pratiques et insertion professionnelle.;Controle qualite|Lean manufacturing|Diagnostic automobile|Electronique embarquee|OBD|CAN Bus;Assistant Automobile|Technicien Diagnostic et Electronique Embarquee Automobile|Operateur specialise|Junior Automobile
F006;Technicien Specialise;niveau Bac;Educateur Specialise dans la Petite Enfance;Education;Formation Technicien Specialise orientee vers education avec competences pratiques et insertion professionnelle.;Animation pedagogique|Psychologie enfant|Communication parentale|Accompagnement enfant|Activites prescolaires|Inclusion;Assistant Education|Technicien Educateur Specialise dans la Petite Enfance|Operateur specialise|Junior Education
F007;Technicien Specialise;niveau Bac;Genie Civil;BTP;Formation Technicien Specialise orientee vers btp avec competences pratiques et insertion professionnelle.;Lecture plans|AutoCAD|Metre|Suivi chantier|Beton arme|Topographie;Assistant BTP|Technicien Genie Civil|Operateur specialise|Junior BTP
F008;Technicien Specialise;niveau Bac;Genie electrique;Electricite & Energie;Formation Technicien Specialise orientee vers electricite & energie avec competences pratiques et insertion professionnelle.;Automatisme|Schema electrique|Maintenance electrique|Energie solaire|Climatisation|Froid industriel;Assistant Electricite & Energie|Technicien Genie electrique|Operateur specialise|Junior Electricite & Energie
F009;Technicien Specialise;niveau Bac;Genie Energetique;Electricite & Energie;Formation Technicien Specialise orientee vers electricite & energie avec competences pratiques et insertion professionnelle.;Schema electrique|Maintenance electrique|Energie solaire|Climatisation|Froid industriel|Electricite industrielle;Assistant Electricite & Energie|Technicien Genie Energetique|Operateur specialise|Junior Electricite & Energie
F010;Technicien Specialise;niveau Bac;Genie Industriel;Industrie;Formation Technicien Specialise orientee vers industrie avec competences pratiques et insertion professionnelle.;Gestion stock|5S|Controle qualite|Process industriel|Maintenance industrielle|Production;Assistant Industrie|Technicien Genie Industriel|Operateur specialise|Junior Industrie
F011;Technicien Specialise;niveau Bac;Gestion des Entreprises;Gestion;Formation Technicien Specialise orientee vers gestion avec competences pratiques et insertion professionnelle.;Facturation|Paie|Relation client|ERP|Archivage|Comptabilite;Assistant Gestion|Technicien Gestion des Entreprises|Operateur specialise|Junior Gestion
F012;Technicien Specialise;niveau Bac;Infographie prepresse;Design & Communication;Formation Technicien Specialise orientee vers design & communication avec competences pratiques et insertion professionnelle.;Branding|Impression|Adobe Photoshop|Adobe Illustrator|InDesign|Mise en page;Assistant Design & Communication|Technicien Infographie prepresse|Operateur specialise|Junior Design & Communication
F013;Technicien Specialise;niveau Bac;Infrastructure Digitale;Digital & IT;Formation Technicien Specialise orientee vers digital & it avec competences pratiques et insertion professionnelle.;JavaScript|React|HTML|CSS|SQL|Git;Assistant Digital & IT|Technicien Infrastructure Digitale|Operateur specialise|Junior Digital & IT
F014;Technicien Specialise;niveau Bac;Management Agricole;Agriculture;Formation Technicien Specialise orientee vers agriculture avec competences pratiques et insertion professionnelle.;Cooperatives|Gestion exploitation|Irrigation|Fertilisation|Suivi cultures|Agriculture de precision;Assistant Agriculture|Technicien Management Agricole|Operateur specialise|Junior Agriculture
F015;Technicien Specialise;niveau Bac;Cooperatives Agricoles;Agriculture;Formation Technicien Specialise orientee vers agriculture avec competences pratiques et insertion professionnelle.;Gestion exploitation|Irrigation|Fertilisation|Suivi cultures|Agriculture de precision|Capteurs agricoles;Assistant Agriculture|Technicien Cooperatives Agricoles|Operateur specialise|Junior Agriculture
F016;Technicien Specialise;niveau Bac;Production et Qualite en Automobile;Automobile;Formation Technicien Specialise orientee vers automobile avec competences pratiques et insertion professionnelle.;OBD|CAN Bus|Maintenance vehicule|Controle qualite|Lean manufacturing|Diagnostic automobile;Assistant Automobile|Technicien Production et Qualite en Automobile|Operateur specialise|Junior Automobile
F017;Technicien Specialise;niveau Bac;Qualite Hygiene Securite Environnement;QHSE;Formation Technicien Specialise orientee vers qhse avec competences pratiques et insertion professionnelle.;ISO 14001|ISO 45001|Audit QHSE|Analyse risques|Securite travail|Environnement;Assistant QHSE|Technicien Qualite Hygiene Securite Environnement|Operateur specialise|Junior QHSE
F018;Technicien Specialise;niveau Bac;Techniques Agricoles;Agriculture;Formation Technicien Specialise orientee vers agriculture avec competences pratiques et insertion professionnelle.;Suivi cultures|Agriculture de precision|Capteurs agricoles|SIG|Cooperatives|Gestion exploitation;Assistant Agriculture|Technicien Techniques Agricoles|Operateur specialise|Junior Agriculture
F019;Technicien Specialise;niveau Bac;Transformation et valorisation des plantes Aromatiques et medicinales;Agro-industrie;Formation Technicien Specialise orientee vers agro-industrie avec competences pratiques et insertion professionnelle.;Sechage|Traçabilite|Extraction huiles essentielles|Controle qualite|Conditionnement|HACCP;Assistant Agro-industrie|Technicien Transformation et valorisation des plantes Aromatiques et medicinales|Operateur specialise|Junior Agro-industrie
F020;Technicien;niveau 2eme annee Bac;Aide Educateur en Prescolaire;Education;Formation Technicien orientee vers education avec competences pratiques et insertion professionnelle.;Communication parentale|Accompagnement enfant|Activites prescolaires|Inclusion|Animation pedagogique|Psychologie enfant;Assistant Education|Technicien Aide Educateur en Prescolaire|Operateur specialise|Junior Education
F021;Technicien;niveau 2eme annee Bac;Ambulancier;Sante;Formation Technicien orientee vers sante avec competences pratiques et insertion professionnelle.;Communication patient|Brancardage|Urgences|Premiers secours|Soins de base|Hygiene hospitaliere;Assistant Sante|Technicien Ambulancier|Operateur specialise|Junior Sante
F022;Technicien;niveau 2eme annee Bac;Arts culinaires;Tourisme & Hotellerie;Formation Technicien orientee vers tourisme & hotellerie avec competences pratiques et insertion professionnelle.;Housekeeping|Communication|Service client|Reception|Gestion reservations|HACCP;Assistant Tourisme & Hotellerie|Technicien Arts culinaires|Operateur specialise|Junior Tourisme & Hotellerie
F023;Technicien;niveau 2eme annee Bac;Assistant Administratif;Gestion;Formation Technicien orientee vers gestion avec competences pratiques et insertion professionnelle.;Archivage|Comptabilite|Excel|Gestion administrative|Facturation|Paie;Assistant Gestion|Technicien Assistant Administratif|Operateur specialise|Junior Gestion
F024;Technicien;niveau 2eme annee Bac;Batiment;BTP;Formation Technicien orientee vers btp avec competences pratiques et insertion professionnelle.;Suivi chantier|Beton arme|Topographie|Securite chantier|Lecture plans|AutoCAD;Assistant BTP|Technicien Batiment|Operateur specialise|Junior BTP
F025;Technicien;niveau 2eme annee Bac;Electricite Industrielle;Electricite & Energie;Formation Technicien orientee vers electricite & energie avec competences pratiques et insertion professionnelle.;Energie solaire|Climatisation|Froid industriel|Electricite industrielle|Automatisme|Schema electrique;Assistant Electricite & Energie|Technicien Electricite Industrielle|Operateur specialise|Junior Electricite & Energie
F026;Technicien;niveau 2eme annee Bac;Genie Thermique;Electricite & Energie;Formation Technicien orientee vers electricite & energie avec competences pratiques et insertion professionnelle.;Climatisation|Froid industriel|Electricite industrielle|Automatisme|Schema electrique|Maintenance electrique;Assistant Electricite & Energie|Technicien Genie Thermique|Operateur specialise|Junior Electricite & Energie
F027;Technicien;niveau 2eme annee Bac;Service de Restauration Arts de table;Tourisme & Hotellerie;Formation Technicien orientee vers tourisme & hotellerie avec competences pratiques et insertion professionnelle.;HACCP|Cuisine|Arts de table|Housekeeping|Communication|Service client;Assistant Tourisme & Hotellerie|Technicien Service de Restauration Arts de table|Operateur specialise|Junior Tourisme & Hotellerie
F028;Qualification;niveau 3eme annee college;Agent brancardier;Sante;Formation Qualification orientee vers sante avec competences pratiques et insertion professionnelle.;Dossier patient|Communication patient|Brancardage|Urgences|Premiers secours|Soins de base;Assistant Sante|Technicien Agent brancardier|Operateur specialise|Junior Sante
F029;Qualification;niveau 3eme annee college;Aide-soignant;Sante;Formation Qualification orientee vers sante avec competences pratiques et insertion professionnelle.;Communication patient|Brancardage|Urgences|Premiers secours|Soins de base|Hygiene hospitaliere;Assistant Sante|Technicien Aide-soignant|Operateur specialise|Junior Sante
F030;Qualification;niveau 3eme annee college;Operateur Agricole;Agriculture;Formation Qualification orientee vers agriculture avec competences pratiques et insertion professionnelle.;Cooperatives|Gestion exploitation|Irrigation|Fertilisation|Suivi cultures|Agriculture de precision;Assistant Agriculture|Technicien Operateur Agricole|Operateur specialise|Junior Agriculture
